State,County Name,Hospital Name
AK,ANCHORAGE,3
AK,BETHEL,1
AK,DILLINGHAM,1
AK,FAIRBANKS NORTH STAR,1
AK,JUNEAU,1
AK,KENAI PENINSULA,3
AK,KETCHIKAN GATEWAY,1
AK,KODIAK ISLAND BOROUGH,1
AK,MATANUSKA-SUSITNA,1
AK,NOME,1
AK,NORTHWEST ARTIC BOROUGH,1
AK,SITKA BOROUGH,2
AL,AUTAUGA,1
AL,BALDWIN,3
AL,BARBOUR,1
AL,BIBB,1
AL,BLOUNT,1
AL,BULLOCK,1
AL,BUTLER,2
AL,CALHOUN,3
AL,CHEROKEE,1
AL,CHILTON,1
AL,CHOCTAW,1
AL,CLARKE,2
AL,CLAY,1
AL,COFFEE,1
AL,COLBERT,2
AL,CONECUH,1
AL,COVINGTON,2
AL,CRENSHAW,1
AL,CULLMAN,1
AL,DALE,1
AL,DALLAS,1
AL,DE KALB,1
AL,ELMORE,2
AL,ESCAMBIA,2
AL,ETOWAH,2
AL,FAYETTE,2
AL,FRANKLIN,2
AL,GENEVA,1
AL,GREENE,1
AL,HALE,1
AL,HOUSTON,2
AL,JACKSON,1
AL,JEFFERSON,9
AL,LAUDERDALE,1
AL,LAWRENCE,1
AL,LEE,1
AL,LIMESTONE,2
AL,MADISON,2
AL,MARENGO,1
AL,MARION,1
AL,MARSHALL,1
AL,MOBILE,5
AL,MONROE,1
AL,MONTGOMERY,3
AL,MORGAN,1
AL,PICKENS,1
AL,PIKE,1
AL,RANDOLPH,1
AL,RUSSELL,1
AL,SHELBY,1
AL,ST. CLAIR,1
AL,SUMTER,1
AL,TALLADEGA,2
AL,TALLAPOOSA,2
AL,TUSCALOOSA,1
AL,WALKER,1
AL,WASHINGTON,1
AL,WILCOX,1
AL,WINSTON,1
AR,ARKANSAS,2
AR,ASHLEY,1
AR,BAXTER,2
AR,BENTON,3
AR,BOONE,1
AR,BRADLEY,1
AR,CARROLL,2
AR,CHICOT,1
AR,CLARK,1
AR,CLAY,1
AR,CLEBURNE,1
AR,COLUMBIA,1
AR,CONWAY,1
AR,CRAIGHEAD,2
AR,CRAWFORD,1
AR,CROSS,1
AR,DALLAS,1
AR,DESHA,2
AR,DREW,1
AR,FAULKNER,2
AR,FRANKLIN,1
AR,FULTON,1
AR,GARLAND,3
AR,GREENE,1
AR,HEMPSTEAD,1
AR,HOT SPRING,1
AR,HOWARD,1
AR,INDEPENDENCE,1
AR,JEFFERSON,1
AR,JOHNSON,1
AR,LAWRENCE,1
AR,LITTLE RIVER,1
AR,LOGAN,2
AR,MISSISSIPPI,2
AR,OUACHITA,1
AR,PHILLIPS,1
AR,POLK,1
AR,POPE,1
AR,PULASKI,9
AR,RANDOLPH,1
AR,SALINE,1
AR,SCOTT,1
AR,SEBASTIAN,2
AR,SEVIER,1
AR,ST. FRANCIS,1
AR,STONE,1
AR,UNION,1
AR,VAN BUREN,1
AR,WASHINGTON,4
AR,WHITE,1
AR,YELL,2
AZ,APACHE,4
AZ,COCHISE,4
AZ,COCONINO,3
AZ,GILA,3
AZ,GRAHAM,1
AZ,LAPAZ,2
AZ,MARICOPA,35
AZ,MOHAVE,4
AZ,NAVAJO,4
AZ,PIMA,9
AZ,PINAL,4
AZ,SANTA CRUZ,1
AZ,YAVAPAI,2
AZ,YUMA,1
CA,ALAMEDA,13
CA,AMADOR,1
CA,BUTTE,4
CA,CALAVERAS,1
CA,CONTRA COSTA,7
CA,DEL NORTE,1
CA,EL DORADO,2
CA,FRESNO,7
CA,GLENN,1
CA,HUMBOLDT,4
CA,IMPERIAL,2
CA,INYO,2
CA,KERN,10
CA,KINGS,1
CA,LAKE,2
CA,LASSEN,1
CA,LOS ANGELES,80
CA,MADERA,2
CA,MARIN,3
CA,MARIPOSA,1
CA,MENDOCINO,3
CA,MERCED,2
CA,MODOC,2
CA,MONO,1
CA,MONTEREY,4
CA,NAPA,2
CA,NEVADA,2
CA,ORANGE,27
CA,PLACER,3
CA,PLUMAS,3
CA,RIVERSIDE,16
CA,SACRAMENTO,9
CA,SAN BENITO,1
CA,SAN BERNARDINO,18
CA,SAN DIEGO,16
CA,SAN FRANCISCO,10
CA,SAN JOAQUIN,7
